Altium Designer Pick and Place Locations
C:\Users\Edwin\AppData\Local\TempReleases\Snapshot\2\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       26/12/23
Time:       21:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer    Footprint                                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                        
R46        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2980.000      5655.000      0        "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R45        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2790.000      5110.000      180      "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R44        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2790.000      5175.000      180      "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R43        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2780.000      5410.000      0        "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R42        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2780.000      5470.000      0        "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R41        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2780.000      5530.000      0        "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R40        "0603 220R"                          TopLayer RESC1608X55X25ML10T15                    2780.000      5590.000      0        "Thin Film Resistors - SMD 1/10W 220 ohm .1% 25ppm"                                                                                                
R39        R_0603                               TopLayer RESC1608X55X30LL15T15                    2390.000      4855.000      90       "Res Thick Film 0603"                                                                                                                              
R38        R_0603                               TopLayer RESC1608X55X30LL15T15                    2335.000      4855.000      90       "Res Thick Film 0603"                                                                                                                              
R37        R_0603                               TopLayer RESC1608X55X30LL15T15                    2280.000      4855.000      90       "Res Thick Film 0603"                                                                                                                              
R36        R_0603                               TopLayer RESC1608X55X30LL15T15                    2225.000      4855.000      90       "Res Thick Film 0603"                                                                                                                              
R35        R_0603                               TopLayer RESC1608X55X30LL15T15                    2255.000      5115.000      270      "Res Thick Film 0603"                                                                                                                              
R34        R_0603                               TopLayer RESC1608X55X30LL15T15                    2310.000      5115.000      270      "Res Thick Film 0603"                                                                                                                              
R33        R_0603                               TopLayer RESC1608X55X30LL15T15                    2365.000      5115.000      270      "Res Thick Film 0603"                                                                                                                              
R32        R_0603                               TopLayer RESC1608X55X30LL15T15                    2420.000      5115.000      270      "Res Thick Film 0603"                                                                                                                              
R31        R_0603                               TopLayer RESC1608X55X30LL15T15                    2410.000      5620.000      90       "Res Thick Film 0603"                                                                                                                              
R30        R_0603                               TopLayer RESC1608X55X30LL15T15                    2355.000      5620.000      90       "Res Thick Film 0603"                                                                                                                              
R15        R_0603                               TopLayer RESC1608X55X30LL15T15                    2300.000      5620.000      90       "Res Thick Film 0603"                                                                                                                              
R29        50R                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               4644.994      3309.997      0        "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
PUMP6      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             4805.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
PUMP5      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             4330.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
PUMP4      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             3855.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
PUMP3      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             3375.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
PUMP2      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             2905.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
PUMP1      "Phoenix Contact 1729128"            TopLayer PCB-751788-1                             2430.000      1165.000      0        "Block, Terminal; 13.5 A; 250 V; 5.08 mm; 26 to 16 AWG; 2; Screw; Solder; 4 kV"                                                                    
AUX1       "6pin, 2.54mm"                       TopLayer PCB-bd67y1890k7273b01tsy-1               2430.000      3870.000      0        "THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 6 pins ,Würth Elektronik 61300611121"                                                  
R21        220R                                 TopLayer PCB-j3vqvy61lqvmoewlt70v-1               5800.000      4375.000      180      "Res Metal Film 220 Ohm 1% 0.25W(1/4W) ±50ppm/C Conformal Coated AXL T/R"                                                                          
R23        220R                                 TopLayer PCB-j3vqvy61lqvmoewlt70v-1               6505.000      4375.000      180      "Res Metal Film 220 Ohm 1% 0.25W(1/4W) ±50ppm/C Conformal Coated AXL T/R"                                                                          
D8         SB540                                TopLayer PCB-epjxn0xcny0u8uf7m99m-1               2005.000      2320.000      90       "DIODE, SCHOTTKY, 5A, 40V; Diode Type: Schottky; Voltage, Vrrm: 40V; Current, If AV: 5A; Current, Ifsm: 150A; Voltage,..."                         
G1         BBS-119-G-A                          TopLayer PCB-xs55aat7oevqp2ec9j7i-1               1055.000      4757.874      270      "Conn Unshrouded Header HDR 20 POS 2.54mm Solder ST Thru-Hole Tube"                                                                                
EEPROM     "ASSMANN WSW Components A 08-LC-TT"  TopLayer PCB-94dhigdjo1t049b3izeg-1               3010.000      3676.260      0        "Conn DIP Socket SKT 8 POS 2.54mm Solder ST Thru-Hole"                                                                                             
S4         "ASSMANN WSW Components A 08-LC-TT"  TopLayer PCB-94dhigdjo1t049b3izeg-1               4995.000      2931.260      0        "Conn DIP Socket SKT 8 POS 2.54mm Solder ST Thru-Hole"                                                                                             
S3         "ASSMANN WSW Components A 08-LC-TT"  TopLayer PCB-94dhigdjo1t049b3izeg-1               6375.000      2931.260      0        "Conn DIP Socket SKT 8 POS 2.54mm Solder ST Thru-Hole"                                                                                             
GNDOUT     "Header 2pin"                        TopLayer PCB-header                               2545.000      2825.000      90       "Connector, Through Hole, Header, 2, 2.54 mm 2pin"                                                                                                 
VOUT       "Header 2pin"                        TopLayer PCB-header                               2545.000      3300.000      90       "Connector, Through Hole, Header, 2, 2.54 mm 2pin"                                                                                                 
GNDIN      "Header 2pin"                        TopLayer PCB-header                               1090.000      2825.000      90       "Connector, Through Hole, Header, 2, 2.54 mm 2pin"                                                                                                 
5VIN       "Header 2pin"                        TopLayer PCB-header                               1095.000      3300.000      90       "Connector, Through Hole, Header, 2, 2.54 mm 2pin"                                                                                                 
U3         "Microchip ATMEGA328P-AU"            TopLayer PCB-pmhtxxix7sripjdh33vl-1               2561.000      4172.244      0        "ATmega Series 32 kB Flash 2 kB SRAM 20 MHz 8-Bit Microcontroller - TQFP-32"                                                                       
U2         "NXP Semiconductors PCA9685PW,112"   TopLayer SOP28                                    2461.614      5385.079      90       "PCA9685 Series 25 mA 5.5 V 1 MHz 12-bit PWM Fm+I2C-Bus LED Controller - TSSOP-28"                                                                 
U1         ADS1015IDGST                         TopLayer TI-DGS10_N                               2350.000      4590.000      90       "12-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)" 
TRI2       MOC3021SR2M                          TopLayer PCB-12867618-1                           6105.000      4695.000      0        "DIP6 SMT 1 Channel 400 V 7500 V (Pk) Random Phase Triac Optoisolator"                                                                             
TRI1       MOC3021SR2M                          TopLayer PCB-12867618-1                           6810.000      4687.165      0        "DIP6 SMT 1 Channel 400 V 7500 V (Pk) Random Phase Triac Optoisolator"                                                                             
SW1        "Marquardt 1858.4205"                TopLayer Panasonic_AJ8202BTVF-Footprint-1         1717.677      1566.850      270      "Switch Rocker ON OFF DPST PC Pins Curved Rocker 12A 250VAC 372.85VA Box"                                                                          
R28        "2W 91K"                             TopLayer PCB-dz6j0mminmfwcjeo5yh5-1               7535.000      4830.000      270      "Res Metal Film 47K Ohm 5% 2W ±250ppm/°C Conformal AXL Thru-Hole T/R"                                                                              
R27        "2W 91K"                             TopLayer PCB-dz6j0mminmfwcjeo5yh5-1               7340.000      4830.000      270      "Res Metal Film 47K Ohm 5% 2W ±250ppm/°C Conformal AXL Thru-Hole T/R"                                                                              
R26        "2W 10K"                             TopLayer PCB-dz6j0mminmfwcjeo5yh5-1               7255.000      4360.000      180      "Res Metal Film 47K Ohm 5% 2W ±250ppm/°C Conformal AXL Thru-Hole T/R"                                                                              
R25        10K                                  TopLayer PCB-xwzrcv43whn4jwejibet-1               2580.433      4435.000      0        "Res Thick Film 0805 10K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                                                                
R24        "2W 1K"                              TopLayer PCB-dz6j0mminmfwcjeo5yh5-1               6455.000      4835.000      90       "Res Metal Film 47K Ohm 5% 2W ±250ppm/°C Conformal AXL Thru-Hole T/R"                                                                              
R22        "2W 1K"                              TopLayer PCB-dz6j0mminmfwcjeo5yh5-1               7150.000      4830.000      90       "Res Metal Film 47K Ohm 5% 2W ±250ppm/°C Conformal AXL Thru-Hole T/R"                                                                              
R20        560R                                 TopLayer PCB-yvc6ypk4j1jv0y9zbfln-1               4315.000      5005.000      270      "Resistor, 0.25w 5% 560r"                                                                                                                          
R19        100R                                 TopLayer PCB-cjvwkspjp8iqe8bsgo9q-1               4960.000      5205.000      90       "General Type Metal Film Resistor 100Ohm 1/4W 1% Axial T/R"                                                                                        
R18        100R                                 TopLayer PCB-cjvwkspjp8iqe8bsgo9q-1               4725.000      5205.000      90       "General Type Metal Film Resistor 100Ohm 1/4W 1% Axial T/R"                                                                                        
R17        100R                                 TopLayer PCB-cjvwkspjp8iqe8bsgo9q-1               4845.000      5205.000      90       "General Type Metal Film Resistor 100Ohm 1/4W 1% Axial T/R"                                                                                        
R16        4K7                                  TopLayer PCB-yvc6ypk4j1jv0y9zbfln-1               4185.000      5005.000      90       "Resistor, 0.25w 5% 560r"                                                                                                                          
R14        10k                                  TopLayer PCB-yvc6ypk4j1jv0y9zbfln-1               4435.000      5005.000      270      "Resistor, 0.25w 5% 560r"                                                                                                                          
R13        50R                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               6025.000      3310.000      0        "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R12        10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               3719.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R11        220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               4949.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R10        10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               3249.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R9         220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               4469.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R8         10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               2774.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R7         220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               3989.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R6         10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               4664.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R5         220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               3519.994      2145.013      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R4         10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               4184.997      2145.006      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R3         220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               3044.994      2145.013      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R2         220                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               2564.994      2145.013      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
R1         10k                                  TopLayer PCB-aklekm9smelfr9hpx95f-1               2300.000      2145.000      270      "Through Hole Carbon Film Resistor, MCF Series, 220 kohm, 250 mW, - 5%, 250 V, Axial Leaded"                                                       
